Date,Rows,Columns,Missing,Duplicates,Quality Score
2026-07-21 17:34:13.908001,1000,9,3,1,95
2026-07-21 17:40:01.810188,1000,9,3,1,95
2026-07-21 17:43:49.661251,1000,9,3,1,95
2026-07-22 12:45:35.438735,1000,9,3,1,95
2026-07-22 12:45:40.986692,1000,9,3,1,95
2026-07-22 12:45:43.548411,1000,9,3,1,95
2026-07-22 12:45:45.001163,1000,9,3,1,95
2026-07-22 12:49:21.350133,1000,9,3,1,95
2026-07-22 15:13:15.773999,1000,9,3,1,95
2026-07-22 15:13:34.643230,1000,9,3,1,95
2026-07-22 15:14:02.657007,1000,9,3,1,95
2026-07-22 15:17:19.477283,50,9,0,0,100
2026-07-22 15:38:51.760055,50,9,0,0,100
2026-07-22 15:51:59.047041,50,9,0,0,100
2026-07-22 16:13:03.240098,sample_constant_validation_columns.csv,50,9,0,0,0,100
2026-07-22 16:13:58.334453,enterprise_dataset_1000_rows.csv,1000,9,3,1,1,95
2026-07-22 16:25:29.550424,customers.csv,10,5,0,0,100
2026-07-22 16:45:44.614415,missing_values.csv,10,5,8,0,92
2026-07-22 16:57:33.739210,customers.csv,10,5,0,0,100
2026-07-22 16:57:39.950328,missing_values.csv,10,5,8,0,92
2026-07-22 17:28:37.947418,invalid.csv,4,1,0,0,100
2026-07-22 17:29:13.951314,duplicates.csv,5,5,0,1,98
2026-07-22 17:29:47.581052,customers.csv,10,5,0,0,100
